date,article_id,quantity
2024-01-01,1,16
2024-01-01,2,82
2024-01-01,3,67
2024-01-01,4,167
2024-01-01,5,55
2024-01-01,6,132
2024-01-01,7,149
2024-01-01,9,225
2024-01-01,10,106
2024-01-01,11,36
2024-01-01,13,80
2024-01-01,14,96
2024-01-01,15,123
2024-01-01,16,3
2024-01-01,17,55
2024-01-01,18,216
2024-01-01,20,64
2024-01-01,12,0
2024-01-01,19,0
2024-01-01,8,0
2024-01-02,1,157
2024-01-02,2,163
2024-01-02,3,281
2024-01-02,4,191
2024-01-02,5,0
2024-01-02,6,77
2024-01-02,7,326
2024-01-02,9,232
2024-01-02,10,86
2024-01-02,11,80
2024-01-02,13,216
2024-01-02,14,218
2024-01-02,15,290
2024-01-02,16,197
2024-01-02,17,205
2024-01-02,18,91
2024-01-02,20,328
2024-01-02,12,354
2024-01-02,19,201
2024-01-02,8,0
2024-01-03,1,337
2024-01-03,2,88
2024-01-03,3,225
2024-01-03,4,178
2024-01-03,5,69
2024-01-03,6,77
2024-01-03,7,71
2024-01-03,9,94
2024-01-03,10,251
2024-01-03,11,69
2024-01-03,13,60
2024-01-03,14,55
2024-01-03,15,45
2024-01-03,16,163
2024-01-03,17,148
2024-01-03,18,48
2024-01-03,20,84
2024-01-03,12,92
2024-01-03,19,168
2024-01-03,8,237
2024-01-04,1,44
2024-01-04,2,234
2024-01-04,3,119
2024-01-04,4,102
2024-01-04,5,75
2024-01-04,6,171
2024-01-04,7,69
2024-01-04,9,74
2024-01-04,10,160
2024-01-04,11,0
2024-01-04,13,44
2024-01-04,14,187
2024-01-04,15,418
2024-01-04,16,99
2024-01-04,17,317
2024-01-04,18,91
2024-01-04,20,73
2024-01-04,12,170
2024-01-04,19,55
2024-01-04,8,159
2024-01-05,1,144
2024-01-05,2,48
2024-01-05,3,107
2024-01-05,4,32
2024-01-05,5,56
2024-01-05,6,114
2024-01-05,7,113
2024-01-05,9,90
2024-01-05,10,67
2024-01-05,11,193
2024-01-05,13,183
2024-01-05,14,35
2024-01-05,15,74
2024-01-05,16,220
2024-01-05,17,120
2024-01-05,18,128
2024-01-05,20,472
2024-01-05,12,90
2024-01-05,19,0
2024-01-05,8,118
2024-01-06,1,150
2024-01-06,2,104
2024-01-06,3,0
2024-01-06,4,76
2024-01-06,5,227
2024-01-06,6,72
2024-01-06,7,96
2024-01-06,9,98
2024-01-06,10,98
2024-01-06,11,248
2024-01-06,13,0
2024-01-06,14,182
2024-01-06,15,87
2024-01-06,16,379
